425be85642b24cc2bc3d8a0bb3c7bc92,Sheet Metal Workers Union,13947333.57
06d2d0dcdbda47e0bf2f37b835f6aed0,Comcast Corp,13851194.40
b6bca267129a430e9d4a46b29de8dbd2,AKT Development,13536195.00
34a10e8bb89843b8b9a89c1c09bed3f5,Air Line Pilots Assn,13381323.00
93d723231bec403c9b88d4a0c5260959,Boeing Co,13347169.22
ab09bc57f97b483391c483cbbdc479c8,AFL-CIO,13289084.50
85e3fcc7c9ac4c1ead1a02cb0d47a60f,REPUBLICAN SENATE CAMPAIGN CMTE OF OHIO,12892776.96
29a84833f81844f1a9cda75d15116aa4,TEXANS FOR LAWSUIT REFORM,12665196.07
0785a40a08df4dada2f083631efecb34,Altria Group,12498675.60
9d9030acfc69494ca7c3632e9cb1174f,Democratic Party of Virginia,12347741.15
52a8f5ae450f4507ab79f705c832a41f,Democratic Congressional Campaign Cmte,12281605.82
e8e4e4b8157c447886b77223f150137c,HOUSE REPUBLICAN CAMPAIGN CMTE OF PENNSYLVANIA,12215793.67
739bbd564ba942c682359856c8a31192,IOWA DEMOCRATIC PARTY,12099962.58
46ff48813fc34247b8d31e22a13663c5,Morgan Stanley,12090292.83
999f7ee3377b448bab7319e92af0baa1,Federal Express Corp,12089637.00
56c770dbbdcc4625b874b338dd37a993,PricewaterhouseCoopers,12042130.35
e13e2512f89e4fff8cddd0f97b873ceb,American Institute of CPAs,11771200.00
99a03e3657514a37a6ab150a1caa8fb8,US Chamber of Commerce,11768140.50
86d5e83ff7344fc784be3b1873ea0b59,AFLAC Inc,11522208.19
105dcfc8c9384875a099af230dad9917,"Akin, Gump et al",11228053.42
cac4e1569e20459c8db0dbe5bb045245,National Fedn of Independent Business,10942561.20
6d50237f45564ca88d7278ec34ffcfc5,PENNSYLVANIA DEMOCRATIC PARTY,10867348.63
5d4df3bb8b9e4ee6986ad4e17eee302b,Amway/Alticor Inc,10698930.96
6aab47626721430cb16834a0e29bbcc6,Koch Industries,10688383.95
daf6cdfa183f469581abc21f9aecb684,Business Council of Alabama,10661889.36
1df6bba1eacb429d914630b767426d88,American Postal Workers Union,10617443.00
cff3369a3c204154bff7784504682cfc,WASHINGTON STATE DEMOCRATIC PARTY,10290782.26
ffee004004214350bd985c09fc2e41e2,Eli Lilly & Co,10276732.83
9613bd2e8baf499fa99d4ce32892c2b5,Republican Party of Iowa,10225396.63
9ea6d2182bd4469792253cd3509e9374,Republican Party of Virginia,10195987.62
6a2f5a216da4454198a2265b4955ff5d,Northrop Grumman,9941948.93
